id_compra,cpf_cliente,data_compra,canal_venda,produto,categoria,quantidade,preco_unitario,desconto_percentual,frete,subtotal,total,forma_pagamento,parcelas,status_pedido,estado_entrega,avaliacao,cupom_usado
0E541794,179.327.104-64,2025-04-30,Site,Café Premium,Alimentos,5,798.46,0.04,0.0,3992.3,3832.61,Crédito,3,Entregue,PR,5.0,False
C676DAB8,027.588.425-21,2026-01-01,Site,Café Premium,Alimentos,4,2415.04,0.21,22.52,9660.16,7654.05,Pix,1,Em trânsito,CE,,True
FC32B849,773.872.148-08,2024-10-14,Loja Física,Azeite,Alimentos,5,887.53,0.03,37.62,4437.65,4342.14,Crédito,10,Processando,SP,,True
87B48EE4,853.747.411-87,2025-08-26,Televendas,Chá Especial,Alimentos,4,3207.51,0.05,28.57,12830.04,12217.11,Crédito,6,Em trânsito,SC,,False
FF84A869,156.676.527-73,2026-01-01,Televendas,Toalha,Casa,1,3004.2,0.1,12.97,3004.2,2716.75,Crédito,2,Em trânsito,BA,,False
F2E4D8C3,180.552.696-02,2025-05-11,Televendas,Panela,Casa,4,3029.21,0.25,0.0,12116.84,9087.63,Pix,1,Devolvido,SP,,True
636483B8,296.201.533-67,2024-11-28,Loja Física,Shampoo,Beleza,5,2651.2,0.19,9.16,13256.0,10746.52,Débito,1,Processando,GO,,False
860A7157,474.517.123-46,2026-04-26,App,Smartphone,Eletrônicos,5,2800.61,0.21,0.62,14003.05,11063.03,Crédito,2,Em trânsito,GO,,True
B2F5224F,956.046.618-64,2024-07-06,App,Raquete,Esportes,4,3265.3,0.09,18.7,13061.2,11904.39,Pix,1,Em trânsito,GO,,True
4CAD3086,004.786.863-58,2026-05-16,Loja Física,Chocolate Importado,Alimentos,5,1786.22,0.26,12.43,8931.1,6621.44,Pix,1,Devolvido,PE,,False
2FC7C56E,398.225.871-55,2026-03-17,Loja Física,Tablet,Eletrônicos,3,2933.6,0.17,38.94,8800.8,7343.6,Pix,1,Em trânsito,BA,,False
14966723,743.748.969-45,2025-05-27,Loja Física,Azeite,Alimentos,2,3433.0,0.07,38.52,6866.0,6423.9,Crédito,12,Em trânsito,GO,,False
0FDEEA8E,685.054.235-42,2025-10-10,Site,Chocolate Importado,Alimentos,4,3377.41,0.04,14.94,13509.64,12984.19,Pix,1,Entregue,PE,4.0,True
4DD83B6D,467.065.627-93,2026-04-08,Loja Física,Raquete,Esportes,4,3050.2,0.29,0.0,12200.8,8662.57,Boleto,1,Devolvido,CE,,False
BEE4A8E9,143.634.957-58,2025-05-08,Site,Bola de Futebol,Esportes,3,2985.41,0.26,14.25,8956.23,6641.86,Pix,1,Cancelado,CE,,True
A60667B0,262.218.909-50,2025-11-29,Televendas,Moletom,Roupas,3,3491.03,0.22,4.43,10473.09,8173.44,Crédito,3,Cancelado,DF,,False
DAB71552,527.111.161-07,2025-01-04,App,Smartphone,Eletrônicos,3,2789.56,0.09,6.55,8368.68,7622.05,Pix,1,Processando,MG,,True
A39147FA,098.593.174-45,2025-08-02,Televendas,Smartwatch,Eletrônicos,4,2174.69,0.07,6.44,8698.76,8096.29,Boleto,1,Em trânsito,PR,,True
20758B3C,060.983.584-00,2026-01-31,Loja Física,Azeite,Alimentos,5,565.55,0.13,26.44,2827.75,2486.58,Pix,1,Cancelado,GO,,False
C571C1C3,526.949.588-00,2025-09-27,Site,Jaqueta,Roupas,4,386.69,0.11,13.31,1546.76,1389.93,Boleto,1,Cancelado,AM,,False
B3B9A642,714.785.969-37,2024-09-07,Loja Física,Panela,Casa,5,3029.76,0.23,40.98,15148.8,11705.56,Pix,1,Cancelado,RS,,False
6D5FBED8,393.087.059-29,2024-09-04,Site,Moletom,Roupas,2,2178.81,0.2,29.66,4357.62,3515.76,Débito,1,Devolvido,AM,,True
CCC1EA7F,244.935.348-85,2026-03-29,Televendas,Almofada,Casa,1,2034.81,0.22,0.0,2034.81,1587.15,Boleto,1,Entregue,MG,2.0,True
ACD7FFAF,514.936.899-75,2026-03-15,Loja Física,Shampoo,Beleza,5,1763.75,0.08,0.0,8818.75,8113.25,Pix,1,Devolvido,DF,,False
A13C35AB,348.434.437-78,2025-10-16,Site,Fone de Ouvido,Eletrônicos,1,505.54,0.29,32.59,505.54,391.52,Boleto,1,Em trânsito,SC,,True
0623D038,491.778.507-34,2025-11-10,Site,Organizador,Casa,1,1599.93,0.2,26.31,1599.93,1306.25,Boleto,1,Devolvido,AM,,True
EACD4FA6,375.679.825-95,2026-03-27,Loja Física,Café Premium,Alimentos,5,3096.56,0.17,9.96,15482.8,12860.68,Pix,1,Entregue,AM,4.0,True
D0E7F052,068.536.153-52,2026-01-06,Televendas,Camiseta,Roupas,1,1075.71,0.15,0.0,1075.71,914.35,Débito,1,Processando,GO,,False
A8D7C38B,986.800.025-42,2026-02-03,Televendas,Garrafa Térmica,Esportes,4,2061.88,0.22,29.47,8247.52,6462.54,Pix,1,Devolvido,PR,,True
92105B50,247.510.799-56,2026-04-16,Loja Física,Luva de Box,Esportes,2,1560.19,0.29,4.47,3120.38,2219.94,Boleto,1,Cancelado,SP,,False
F76AF6F9,063.242.415-05,2026-01-01,Site,Luminária,Casa,1,3322.3,0.25,0.0,3322.3,2491.73,Crédito,6,Entregue,RS,2.0,True
DC1C7949,559.059.929-67,2024-12-26,Site,Smartwatch,Eletrônicos,2,2058.55,0.24,0.0,4117.1,3129.0,Débito,1,Devolvido,PR,,True
3F7752CF,696.816.453-16,2026-05-22,Loja Física,Vestido,Roupas,3,2797.82,0.03,5.93,8393.46,8147.59,Débito,1,Entregue,SP,2.0,False
E07C8692,914.865.281-47,2026-02-28,Televendas,Notebook,Eletrônicos,4,1848.41,0.22,35.01,7393.64,5802.05,Crédito,9,Processando,RS,,True
40B247E6,879.470.551-81,2024-08-16,Televendas,Garrafa Térmica,Esportes,3,1611.28,0.29,0.0,4833.84,3432.03,Pix,1,Em trânsito,AM,,True
4D0C1EBD,715.437.993-61,2025-08-05,Loja Física,Vinho,Alimentos,1,3148.94,0.1,0.0,3148.94,2834.05,Boleto,1,Entregue,SC,5.0,False
3490D47C,939.909.169-47,2025-08-24,Televendas,Chá Especial,Alimentos,5,1514.24,0.24,0.0,7571.2,5754.11,Débito,1,Cancelado,GO,,True
A041912A,982.146.584-62,2025-08-21,App,Azeite,Alimentos,4,1404.57,0.22,14.06,5618.28,4396.32,Boleto,1,Entregue,AM,4.0,True
4DD5A710,181.599.706-09,2026-05-27,Site,Smartphone,Eletrônicos,1,1520.09,0.22,5.86,1520.09,1191.53,Boleto,1,Entregue,SC,3.0,False
510923F8,499.045.301-81,2025-04-11,App,Bola de Futebol,Esportes,3,2107.43,0.11,9.57,6322.29,5636.41,Pix,1,Cancelado,RJ,,False
37C34B51,530.745.054-00,2025-07-09,Loja Física,Shampoo,Beleza,1,2672.68,0.17,38.03,2672.68,2256.35,Crédito,1,Devolvido,MG,,False
9FCCB622,104.332.181-00,2025-08-31,Site,Luva de Box,Esportes,3,1238.32,0.05,0.0,3714.96,3529.21,Pix,1,Cancelado,MG,,True
3FACC98F,132.370.589-98,2025-09-10,Site,Carregador Portátil,Eletrônicos,5,764.74,0.13,16.65,3823.7,3343.27,Boleto,1,Cancelado,SP,,True
13F1558D,627.028.951-31,2025-06-07,Loja Física,Vestido,Roupas,1,2363.78,0.08,21.85,2363.78,2196.53,Pix,1,Em trânsito,RS,,True
28975C1B,470.168.733-23,2025-10-04,Televendas,Almofada,Casa,1,1002.11,0.2,30.02,1002.11,831.71,Débito,1,Entregue,CE,1.0,True
897577CE,983.273.158-54,2024-11-21,Televendas,Tênis,Roupas,2,2689.21,0.23,0.0,5378.42,4141.38,Crédito,12,Entregue,SC,2.0,True
E41A5162,925.556.258-44,2026-06-05,Televendas,Chá Especial,Alimentos,2,1758.41,0.25,3.24,3516.82,2640.86,Crédito,1,Devolvido,GO,,True
676D4829,278.248.963-15,2025-01-15,App,Organizador,Casa,4,2013.3,0.21,5.18,8053.2,6367.21,Boleto,1,Entregue,CE,4.0,False
43419E34,059.304.078-35,2025-04-30,App,Fone de Ouvido,Eletrônicos,1,862.96,0.18,17.81,862.96,725.44,Boleto,1,Entregue,BA,2.0,True
438B8EE7,755.646.417-28,2026-06-09,App,Perfume,Beleza,5,1792.18,0.27,32.73,8960.9,6574.19,Débito,1,Devolvido,RJ,,True
52363E37,418.328.569-09,2024-10-01,Televendas,Luminária,Casa,2,2114.36,0.23,7.97,4228.72,3264.08,Pix,1,Devolvido,CE,,False
E8D1FFCF,309.130.756-55,2025-06-15,Loja Física,Garrafa Térmica,Esportes,5,1141.38,0.29,19.79,5706.9,4071.69,Pix,1,Em trânsito,PR,,True
50A2F301,731.781.080-09,2026-01-15,Site,Organizador,Casa,1,1096.77,0.14,0.0,1096.77,943.22,Boleto,1,Devolvido,AM,,True
CCF2A021,027.874.296-37,2026-03-15,App,Protetor Solar,Beleza,5,1354.92,0.17,33.25,6774.6,5656.17,Pix,1,Entregue,BA,5.0,False
2D61B209,293.968.562-23,2026-05-02,Site,Creme Hidratante,Beleza,1,1585.07,0.24,44.21,1585.07,1248.86,Débito,1,Entregue,RS,4.0,False
FB44515F,680.182.422-83,2026-04-13,Site,Protetor Solar,Beleza,5,568.23,0.11,0.0,2841.15,2528.62,Boleto,1,Em trânsito,AM,,False
D206F376,798.552.414-28,2025-05-19,Loja Física,Tablet,Eletrônicos,1,1959.5,0.12,0.0,1959.5,1724.36,Débito,1,Devolvido,RJ,,True
45A13C76,301.031.051-07,2026-01-22,Loja Física,Tapete,Casa,4,464.4,0.21,0.0,1857.6,1467.5,Pix,1,Processando,MG,,True
270493A6,947.174.648-50,2025-10-23,Televendas,Yoga Mat,Esportes,5,1275.97,0.11,0.0,6379.85,5678.07,Boleto,1,Entregue,RS,2.0,True
D9EBD2AE,826.137.506-42,2025-06-23,Loja Física,Camiseta,Roupas,3,2957.83,0.03,37.58,8873.49,8644.87,Crédito,10,Processando,MG,,False
2BAEF5C2,043.842.797-10,2026-04-08,Televendas,Calça Jeans,Roupas,2,2912.24,0.23,7.45,5824.48,4492.3,Crédito,6,Em trânsito,AM,,True
D5A60CC6,078.361.340-75,2025-03-31,Televendas,Chá Especial,Alimentos,3,2637.08,0.24,0.0,7911.24,6012.54,Boleto,1,Entregue,RS,3.0,False
2FD4A5F5,640.391.065-55,2025-06-09,Loja Física,Azeite,Alimentos,4,1767.63,0.13,0.0,7070.52,6151.35,Débito,1,Entregue,SP,4.0,False
7C0983D1,612.004.711-56,2024-10-31,Televendas,Perfume,Beleza,5,2981.31,0.09,12.28,14906.55,13577.24,Débito,1,Processando,RJ,,True
F22E3203,037.917.693-91,2025-09-17,App,Azeite,Alimentos,1,1460.92,0.12,17.38,1460.92,1302.99,Boleto,1,Entregue,SP,3.0,True
80B840B3,250.392.614-20,2025-08-02,Televendas,Luva de Box,Esportes,2,494.53,0.09,31.32,989.06,931.36,Pix,1,Entregue,CE,1.0,True
A0370A4B,681.177.589-03,2026-04-23,App,Tablet,Eletrônicos,2,2924.85,0.16,23.75,5849.7,4937.5,Boleto,1,Entregue,PR,1.0,True
1B8968FE,679.334.101-46,2024-09-22,App,Jaqueta,Roupas,5,1608.04,0.03,26.85,8040.2,7825.84,Débito,1,Entregue,PR,4.0,True
5AC60AF9,627.204.653-72,2025-09-25,Site,Shampoo,Beleza,2,2003.76,0.06,23.56,4007.52,3790.63,Crédito,7,Entregue,GO,1.0,False
4D8D2D45,034.944.665-21,2025-02-08,Loja Física,Tapete,Casa,1,1259.47,0.02,0.0,1259.47,1234.28,Crédito,3,Cancelado,SP,,False
DDC5769B,796.275.705-16,2025-12-28,Site,Shampoo,Beleza,2,2908.89,0.21,21.53,5817.78,4617.58,Débito,1,Entregue,DF,4.0,True
0F06F570,545.226.752-24,2024-12-26,Loja Física,Luminária,Casa,1,2772.02,0.27,13.95,2772.02,2037.52,Pix,1,Em trânsito,SP,,True
3D560DAD,109.439.690-77,2025-07-01,Televendas,Tapete,Casa,1,3032.31,0.1,0.0,3032.31,2729.08,Pix,1,Entregue,DF,4.0,False
2740D895,937.966.033-27,2025-04-05,Site,Luminária,Casa,4,2426.86,0.11,12.0,9707.44,8651.62,Pix,1,Entregue,SC,5.0,True
793105AA,146.303.161-08,2025-12-28,App,Shampoo,Beleza,3,372.55,0.1,0.0,1117.65,1005.89,Pix,1,Em trânsito,DF,,False
07B6795E,443.135.182-58,2026-04-07,Site,Almofada,Casa,1,2547.95,0.27,19.57,2547.95,1879.57,Crédito,11,Cancelado,AM,,False
82CB5B55,430.068.486-32,2024-10-13,Site,Organizador,Casa,2,3335.47,0.04,35.16,6670.94,6439.26,Débito,1,Entregue,RS,3.0,False
103ADC6D,001.701.277-53,2025-04-02,App,Chá Especial,Alimentos,1,2123.76,0.2,16.74,2123.76,1715.75,Crédito,9,Devolvido,BA,,False
E86C2A84,246.299.606-00,2024-08-07,Loja Física,Toalha,Casa,3,884.9,0.03,22.46,2654.7,2597.52,Crédito,5,Em trânsito,DF,,False
AA745318,014.388.899-41,2024-09-02,Televendas,Vestido,Roupas,3,2433.52,0.3,0.0,7300.56,5110.39,Crédito,3,Entregue,DF,4.0,True
484EC87C,171.545.444-81,2024-07-25,App,Luva de Box,Esportes,3,2487.75,0.16,0.0,7463.25,6269.13,Débito,1,Entregue,BA,5.0,True
3D8F3A4B,903.311.907-29,2025-10-04,Site,Notebook,Eletrônicos,2,840.03,0.15,25.75,1680.06,1453.8,Débito,1,Em trânsito,RJ,,False
4B189498,019.380.262-76,2025-02-10,Televendas,Vinho,Alimentos,5,1446.62,0.12,5.64,7233.1,6370.77,Crédito,8,Entregue,AM,5.0,False
37C4DC22,820.377.889-59,2024-07-17,App,Vestido,Roupas,5,649.14,0.29,40.98,3245.7,2345.43,Crédito,5,Entregue,MG,2.0,False
977DFACE,355.215.704-20,2025-10-18,App,Raquete,Esportes,3,3316.98,0.16,0.0,9950.94,8358.79,Boleto,1,Entregue,AM,5.0,False
92A70F8B,466.889.373-01,2024-10-04,App,Moletom,Roupas,3,2156.28,0.03,26.63,6468.84,6301.4,Débito,1,Processando,AM,,False
83266678,171.545.444-81,2024-11-23,Site,Smartphone,Eletrônicos,1,173.43,0.19,29.3,173.43,169.78,Pix,1,Devolvido,GO,,False
2C6362CB,467.065.627-93,2024-11-03,Televendas,Chocolate Importado,Alimentos,4,1051.56,0.02,0.0,4206.24,4122.12,Pix,1,Em trânsito,GO,,True
0A0532F2,514.936.899-75,2026-04-18,Loja Física,Creme Hidratante,Beleza,3,3017.28,0.1,15.54,9051.84,8162.2,Débito,1,Em trânsito,PE,,True
D4E1D8D1,098.593.174-45,2026-03-06,Televendas,Jaqueta,Roupas,1,947.14,0.07,0.0,947.14,880.84,Pix,1,Entregue,RS,2.0,False
52B58FAD,820.377.889-59,2024-07-03,Site,Luva de Box,Esportes,2,2674.48,0.15,22.44,5348.96,4569.06,Pix,1,Entregue,RJ,4.0,False
EF1283EC,331.509.839-59,2025-09-25,Loja Física,Vestido,Roupas,3,184.57,0.08,37.93,553.71,547.34,Pix,1,Cancelado,PE,,True
3C79BEA3,788.957.986-19,2026-02-05,Loja Física,Chocolate Importado,Alimentos,3,2550.37,0.23,18.03,7651.11,5909.38,Débito,1,Processando,PE,,False
2080409F,815.371.473-23,2025-06-11,Site,Chá Especial,Alimentos,4,2678.95,0.08,30.62,10715.8,9889.16,Débito,1,Entregue,SC,3.0,False
1687B63F,246.299.606-00,2026-05-05,Loja Física,Luminária,Casa,2,2114.58,0.12,0.0,4229.16,3721.66,Débito,1,Entregue,GO,5.0,False
71CF2FAE,545.892.975-66,2024-06-23,Loja Física,Protetor Solar,Beleza,2,1157.96,0.18,0.0,2315.92,1899.05,Boleto,1,Processando,PE,,False
1B2E8911,171.545.444-81,2025-09-26,Televendas,Almofada,Casa,1,1298.73,0.2,26.27,1298.73,1065.25,Crédito,5,Devolvido,AM,,True
3C1DDFA3,395.376.724-09,2025-03-02,Site,Sérum Facial,Beleza,2,1841.95,0.22,17.11,3683.9,2890.55,Débito,1,Devolvido,CE,,True
61241020,800.030.756-13,2024-09-24,Site,Fone de Ouvido,Eletrônicos,3,1474.45,0.12,0.0,4423.35,3892.55,Pix,1,Processando,DF,,True
142584A9,627.204.653-72,2025-12-26,Loja Física,Vestido,Roupas,3,3493.46,0.14,43.05,10480.38,9056.18,Boleto,1,Em trânsito,AM,,False
32D51E54,826.137.506-42,2025-01-15,Televendas,Calça Jeans,Roupas,3,1959.93,0.07,13.39,5879.79,5481.59,Débito,1,Entregue,BA,4.0,False
94BAE3EE,014.388.899-41,2025-08-03,App,Luva de Box,Esportes,3,439.73,0.2,44.11,1319.19,1099.46,Boleto,1,Devolvido,PR,,True
CB502999,004.786.863-58,2024-08-28,Loja Física,Bola de Futebol,Esportes,3,3235.17,0.2,9.63,9705.51,7774.04,Boleto,1,Devolvido,MG,,True
C757A2D8,331.509.839-59,2025-02-21,Site,Camiseta,Roupas,5,801.47,0.07,0.0,4007.35,3726.84,Pix,1,Entregue,AM,2.0,True
97552B02,430.068.486-32,2025-07-11,Site,Jaqueta,Roupas,4,1678.91,0.06,14.45,6715.64,6327.15,Crédito,11,Cancelado,CE,,True
